batch_key,sampling_mode,max_seq,batch_idx,case,status,total_time_ms,speedup_vs_ulysses,solver_wall_s,microbatch_count,tokens,max,p95,p99,ge_128k,ge_256k,ge_384k,ge_512k
real_random_max131072_b0,real_random,131072,0,ulysses_only,ok,12182.77941956914,1.0,2.991201639175415,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ring_only,ok,4822.856415449114,2.5260506160921348,2.202626943588257,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring,ok,4822.856415449113,2.5260506160921357,4.009274959564209,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,usp_only,ok,6064.959238703288,2.008715795124431,9.783658981323242,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring_usp,ok,4822.856415449113,2.5260506160921357,5.462242603302002,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_only,ok,6299.814984585953,1.0,3.296093463897705,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ring_only,ok,3317.405563912559,1.8990186346573588,1.8708531856536865,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_ring,ok,3317.405563912559,1.8990186346573588,5.4773547649383545,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,usp_only,ok,4775.220152922732,1.3192721555947686,11.86669111251831,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b1,real_random,131072,1,ulysses_ring_usp,ok,3317.405563912559,1.8990186346573588,45.09412217140198,2,317728,59328,23758.39999999997,57594.23999999999,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_only,ok,1793.6165063262001,1.0,9.092720985412598,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ring_only,ok,707.1815807451464,2.5362884938777586,2.503063201904297,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_ring,ok,707.1815807451464,2.5362884938777586,8.179207563400269,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,usp_only,ok,1427.7912946601036,1.2562175669751396,17.25401997566223,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b2,real_random,131072,2,ulysses_ring_usp,ok,707.1815807451464,2.5362884938777586,18.82037854194641,1,170208,27360,13537.599999999984,22561.91999999998,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_only,ok,1984.5919365827249,1.0,3.929762601852417,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ring_only,ok,825.0843379159396,2.4053200932107828,2.7810745239257812,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_ring,ok,825.08433791594,2.405320093210782,3.750933885574341,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,usp_only,ok,1509.9670818202912,1.3143279482558423,17.120997667312622,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b3,real_random,131072,3,ulysses_ring_usp,ok,825.0843379159396,2.4053200932107828,24.201651096343994,1,182912,29792,10419.199999999993,23159.35999999997,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_only,ok,979.3639801605204,1.0,2.1440184116363525,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ring_only,ok,310.2048900163194,3.157151971746795,1.619633436203003,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_ring,ok,310.2048900163194,3.157151971746795,3.680543899536133,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,usp_only,ok,545.1061450613197,1.7966482106899575,1.3537607192993164,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
real_random_max131072_b4,real_random,131072,4,ulysses_ring_usp,ok,310.2048900163194,3.157151971746795,2.884369373321533,1,115776,16960,5868.799999999999,13472.319999999985,0,0,0,0
