sampling_mode,max_seq,case,num_batches,mean_time_ms,p50_time_ms,mean_speedup_vs_ulysses,p50_speedup_vs_ulysses,mean_solver_wall_s,mean_microbatch_count
real_random,131072,ring_only,5,1996.5465576078157,825.0843379159396,2.5047659619169655,2.5260506160921348,2.2100175857543944,1.4
real_random,131072,ulysses_only,5,4648.033365444908,1984.5919365827249,1.0,1.0,4.320342779159546,1.4
real_random,131072,ulysses_ring,5,1996.5465576078154,825.08433791594,2.5047659619169664,2.5260506160921357,5.062626600265503,1.4
tail_conditioned,131072,ring_only,5,13357.830335611245,13164.08520328506,2.4272912157984687,2.425245852712391,2.7024356365203857,3.0
tail_conditioned,131072,ulysses_only,5,31809.7598923743,31113.06137963725,1.0,1.0,5.527823400497437,2.4
tail_conditioned,131072,ulysses_ring,5,13357.830335611245,13164.08520328506,2.427291215798469,2.425245852712391,4.6085599899292,3.0
