sampling_mode,max_seq,case,strategy,groups,tokens,seqs,min_len,p50_len,p95_len,p99_len,max_len,ge_128k,ge_256k,ge_384k,ge_512k
real_random,128000,ring_only,ring×2,5,112512,45,64,1088.0,10611.19999999999,24078.08000000001,25824,0,0,0,0
real_random,128000,ring_only,ring×4,5,187936,12,1088,7296.0,41919.99999999999,46425.600000000006,47552,0,0,0,0
real_random,128000,ring_only,ulysses×1,18,232192,135,32,704.0,6857.599999999999,8575.36,9056,0,0,0,0
real_random,128000,ulysses_only,ulysses×1,22,289216,177,32,768.0,6156.799999999994,9260.800000000025,13216,0,0,0,0
real_random,128000,ulysses_only,ulysses×2,3,68768,9,1472,7744.0,16735.999999999996,20831.999999999996,21856,0,0,0,0
real_random,128000,ulysses_only,ulysses×4,5,174656,6,1056,31456.0,44992.0,47040.0,47552,0,0,0,0
real_random,128000,ulysses_ring,ring×4,7,270592,16,1344,10192.0,39872.0,46015.99999999999,47552,0,0,0,0
real_random,128000,ulysses_ring,ulysses×1,20,262048,176,32,752.0,6000.0,7688.0,8608,0,0,0,0
