batch_key,sampling_mode,max_seq,batch_idx,case,status,total_time_ms,speedup_vs_ulysses,solver_wall_s,microbatch_count,tokens,max,p95,p99,ge_128k,ge_256k,ge_384k,ge_512k
real_random_max131072_b0,real_random,131072,0,ulysses_only,ok,9189.02682164526,1.0,2.006270408630371,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ring_only,ok,4822.856415449114,1.9053079814298306,2.2251737117767334,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring,ok,4822.856415449113,1.905307981429831,5.847297668457031,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,usp_only,ok,6064.959238703288,1.5151011672107972,9.795581579208374,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
real_random_max131072_b0,real_random,131072,0,ulysses_ring_usp,ok,4822.856415449114,1.9053079814298306,6.4987335205078125,2,338784,98784,22195.199999999964,60258.239999999845,0,0,0,0
